ID,ParentID,Title,Description,Type,Semester,Chapter
AP-19-1000,,A&P Learning Outcomes 2019,Anatomy & Physiology combined learning outcomes - Fall 2019,Folder,,
AP-19-A,AP-19-1000,A - Body Plan & Organization,Module A,Folder,Anatomy and Physiology I,1
AP-19-A-01,AP-19-19-A,A01 - Anatomical position,Anatomical position,Subject,Anatomy and Physiology I,1
AP-19-A-01-01,AP-19-A-01,AP-19-A-01-01,Describe the human body in anatomical position.,LO,Anatomy and Physiology I,1
AP-19-A-01-02,AP-19-A-01,AP-19-A-01-02,Describe how to use the terms right and left in anatomical reference.,LO,Anatomy and Physiology I,1
AP-19-A-02,AP-19-A,A02 - Body planes and sections,Body planes and sections,Subject,Anatomy and Physiology I,1
AP-19-A-02-01,AP-19-A-02,AP-19-A-02-01,Identify and define the anatomic planes in which a body might be viewed.,LO,Anatomy and Physiology I,1
AP-19-A-03,AP-19-A,A03 - Body cavities and regions,Body cavities and regions,Subject,Anatomy and Physiology I,1
AP-19-A-03-01,AP-19-A-03,AP-19-A-03-01,Identify and describe the location of the body cavities and the major organs found in each cavity.,LO,Anatomy and Physiology I,1
AP-19-A-03-02,AP-19-A-03,AP-19-A-03-02,List and describe the location of the major anatomical regions of the body.,LO,Anatomy and Physiology I,1
AP-19-A-03-03,AP-19-A-03,AP-19-A-03-03,"Identify and describe the location of the four abdominopelvic quadrants and the nine abdominopelvic regions, and the major structures found in each.",LO,Anatomy and Physiology I,1
AP-19-A-04,AP-19-A,A04 - Directional terms,Directional terms,Subject,Anatomy and Physiology I,1
AP-19-A-04-01,AP-19-A-04,AP-19-A-04-01,List and define the major directional terms used in anatomy.,LO,Anatomy and Physiology I,1
AP-19-A-04-02,AP-19-A-04,AP-19-A-04-02,"Describe the location of body structures, using appropriate directional terminology.",LO,Anatomy and Physiology I,1
AP-19-A-05,AP-19-A,A05 - Basic terminology,Basic terminology,Subject,Anatomy and Physiology I,1
AP-19-A-05-01,AP-19-A-05,AP-19-A-05-01,Define the terms anatomy and physiology.,LO,Anatomy and Physiology I,1
AP-19-A-05-02,AP-19-A-05,AP-19-A-05-02,Give specific examples to show the interrelationship between anatomy and physiology.,LO,Anatomy and Physiology I,1
AP-19-A-05-03,AP-19-A-05,AP-19-A-05-03,"Describe the location of structures of the body, using basic regional and systemic terminology.",LO,Anatomy and Physiology I,1
AP-19-A-06,AP-19-A,A06 - Levels of organization,Levels of organization,Subject,Anatomy and Physiology I,1
AP-19-A-06-01,AP-19-A-06,AP-19-A-06-01,"Describe, in order from simplest to most complex, the major levels of organization in the human organism.",LO,Anatomy and Physiology I,1
AP-19-A-06-02,AP-19-A-06,AP-19-A-06-02,Give an example of each level of organization.,LO,Anatomy and Physiology I,1
AP-19-A-07,AP-19-A,A07 - Survey of body systems,Survey of body systems,Subject,Anatomy and Physiology I,1
AP-19-A-07-01,AP-19-A-07,AP-19-A-07-01,List the organ systems of the human body and their major components.,LO,Anatomy and Physiology I,1
AP-19-A-07-02,AP-19-A-07,AP-19-A-07-02,Describe the major functions of each organ system.,LO,Anatomy and Physiology I,1
AP-19-B,AP-19-1000,B - Homeostasis,Module B,Folder,Anatomy and Physiology I,1
AP-19-B-01,AP-19-B,B01 - Definition,Definition,Subject,Anatomy and Physiology I,1
AP-19-B-01-01,AP-19-B-01,AP-19-B-01-01,Define homeostasis.,LO,Anatomy and Physiology I,1
AP-19-B-01-02,AP-19-B-01,AP-19-B-01-02,"Define the following terms as they relate to homeostasis: setpoint, variable, receptor (sensor), effector (target), and control (integrating) center.",LO,Anatomy and Physiology I,1
AP-19-B-01-03,AP-19-B-01,AP-19-B-01-03,List the main physiological variables for which the body attempts to maintain homeostasis.,LO,Anatomy and Physiology I,1
